secao_letra,secao_descricao,cnae,descricao_cnae,,,,,,,secao_letra
C,Indústrias de transformação,10.71-6,Fabricação de açúcar em bruto,,,,,,,C
C,Indústrias de transformação,10.72-4,Fabricação de açúcar refinado,,,,,,,C
C,Indústrias de transformação,10.81-3,Torrefação e moagem de café,,,,,,,C
C,Indústrias de transformação,10.82-1,Fabricação de produtos à base de café,,,,,,,C
C,Indústrias de transformação,10.91-1,Fabricação de produtos de panificação,,,,,,,C
C,Indústrias de transformação,10.92-9,Fabricação de biscoitos e bolachas,,,,,,,C
C,Indústrias de transformação,10.93-7,"Fabricação de produtos derivados do cacau, de chocolates e confeitos",,,,,,,C
C,Indústrias de transformação,10.94-5,Fabricação de massas alimentícias,,,,,,,C
C,Indústrias de transformação,10.95-3,"Fabricação de especiarias, molhos, temperos e condimentos",,,,,,,C
C,Indústrias de transformação,10.96-1,Fabricação de alimentos e pratos prontos,,,,,,,C
C,Indústrias de transformação,10.99-6,Fabricação de produtos alimentícios não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,10.99-6,Fabricação de produtos alimentícios não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,11.11-9,Fabricação de aguardentes e outras bebidas destiladas,,,,,,,C
C,Indústrias de transformação,11.12-7,Fabricação de vinho,,,,,,,C
C,Indústrias de transformação,11.13-5,"Fabricação de malte, cervejas e chopes",,,,,,,C
C,Indústrias de transformação,11.21-6,Fabricação de águas envasadas,,,,,,,C
C,Indústrias de transformação,11.22-4,Fabricação de refrigerantes e de outras bebidas não-alcoólicas,,,,,,,C
C,Indústrias de transformação,12.10-7,Processamento industrial do fumo,,,,,,,C
C,Indústrias de transformação,12.10-7,Processamento industrial do fumo,,,,,,,C
C,Indústrias de transformação,12.20-4,Fabricação de produtos do fumo,,,,,,,C
C,Indústrias de transformação,13.11-1,Preparação e fiação de fibras de algodão,,,,,,,C
C,Indústrias de transformação,13.11-1,Preparação e fiação de fibras de algodão,,,,,,,C
C,Indústrias de transformação,13.12-0,"Preparação e fiação de fibras têxteis naturais, exceto algodão",,,,,,,C
C,Indústrias de transformação,13.12-0,"Preparação e fiação de fibras têxteis naturais, exceto algodão",,,,,,,C
C,Indústrias de transformação,13.13-8,Fiação de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,13.14-6,Fabricação de linhas para costurar e bordar,,,,,,,C
C,Indústrias de transformação,13.21-9,Tecelagem de fios de algodão,,,,,,,C
C,Indústrias de transformação,13.21-9,Tecelagem de fios de algodão,,,,,,,C
C,Indústrias de transformação,13.21-9,Tecelagem de fios de algodão,,,,,,,C
C,Indústrias de transformação,13.22-7,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",,,,,,,C
C,Indústrias de transformação,13.22-7,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",,,,,,,C
C,Indústrias de transformação,13.22-7,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",,,,,,,C
C,Indústrias de transformação,13.23-5,Tecelagem de fios de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,13.23-5,Tecelagem de fios de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,13.23-5,Tecelagem de fios de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,13.30-8,Fabricação de tecidos de malha,,,,,,,C
C,Indústrias de transformação,13.40-5,"Acabamentos em fios, tecidos e artefatos têxteis",,,,,,,C
C,Indústrias de transformação,13.51-1,Fabricação de artefatos têxteis para uso doméstico,,,,,,,C
C,Indústrias de transformação,13.52-9,Fabricação de artefatos de tapeçaria,,,,,,,C
C,Indústrias de transformação,13.53-7,Fabricação de artefatos de cordoaria,,,,,,,C
C,Indústrias de transformação,13.54-5,"Fabricação de tecidos especiais, inclusive artefatos",,,,,,,C
C,Indústrias de transformação,13.59-6,Fabricação de outros produtos têxteis não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,13.59-6,Fabricação de outros produtos têxteis não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,14.11-8,Confecção de roupas íntimas,,,,,,,C
C,Indústrias de transformação,14.12-6,"Confecção de peças do vestuário, exceto roupas íntimas",,,,,,,C
C,Indústrias de transformação,14.12-6,"Confecção de peças do vestuário, exceto roupas íntimas",,,,,,,C
C,Indústrias de transformação,14.13-4,Confecção de roupas profissionais,,,,,,,C
C,Indústrias de transformação,14.14-2,"Fabricação de acessórios do vestuário, exceto para segurança e proteção",,,,,,,C
C,Indústrias de transformação,14.21-5,Fabricação de meias,,,,,,,C
C,Indústrias de transformação,14.22-3,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",,,,,,,C
C,Indústrias de transformação,15.10-6,Curtimento e outras preparações de couro,,,,,,,C
C,Indústrias de transformação,15.21-1,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",,,,,,,C
C,Indústrias de transformação,15.29-7,Fabricação de artefatos de couro não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,15.31-9,Fabricação de calçados de couro,,,,,,,C
C,Indústrias de transformação,15.32-7,Fabricação de tênis de qualquer material,,,,,,,C
C,Indústrias de transformação,15.33-5,Fabricação de calçados de material sintético,,,,,,,C
C,Indústrias de transformação,15.39-4,Fabricação de calçados de materiais não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,15.40-8,"Fabricação de partes para calçados, de qualquer material",,,,,,,C
C,Indústrias de transformação,15.40-8,"Fabricação de partes para calçados, de qualquer material",,,,,,,C
C,Indústrias de transformação,15.40-8,"Fabricação de partes para calçados, de qualquer material",,,,,,,C
C,Indústrias de transformação,16.10-2,Desdobramento de madeira,,,,,,,C
C,Indústrias de transformação,16.21-8,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",,,,,,,C
C,Indústrias de transformação,16.22-6,Fabricação de estruturas de madeira e de artigos de carpintaria para construção,,,,,,,C
C,Indústrias de transformação,16.23-4,Fabricação de artefatos de tanoaria e de embalagens de madeira,,,,,,,C
C,Indústrias de transformação,16.29-3,"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis",,,,,,,C
C,Indústrias de transformação,17.10-9,Fabricação de celulose e outras pastas para a fabricação de papel,,,,,,,C
C,Indústrias de transformação,17.21-4,Fabricação de papel,,,,,,,C
C,Indústrias de transformação,17.22-2,Fabricação de cartolina e papel-cartão,,,,,,,C
C,Indústrias de transformação,17.31-1,Fabricação de embalagens de papel,,,,,,,C
C,Indústrias de transformação,17.32-0,Fabricação de embalagens de cartolina e papel-cartão,,,,,,,C
C,Indústrias de transformação,17.33-8,Fabricação de chapas e de embalagens de papelão ondulado,,,,,,,C
C,Indústrias de transformação,17.41-9,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",,,,,,,C
C,Indústrias de transformação,17.41-9,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",,,,,,,C
C,Indústrias de transformação,17.41-9,"Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório",,,,,,,C
C,Indústrias de transformação,17.42-7,Fabricação de produtos de papel para usos doméstico e higiênico-sanitário,,,,,,,C
C,Indústrias de transformação,17.49-4,"Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente",,,,,,,C
C,Indústrias de transformação,18.11-3,"Impressão de jornais, livros, revistas e outras publicações periódicas",,,,,,,C
C,Indústrias de transformação,18.12-1,Impressão de material de segurança,,,,,,,C
C,Indústrias de transformação,18.13-0,Impressão de materiais para outros usos,,,,,,,C
C,Indústrias de transformação,18.21-1,Serviços de pré-impressão,,,,,,,C
C,Indústrias de transformação,18.22-9,Serviços de acabamentos gráficos,,,,,,,C
C,Indústrias de transformação,18.30-0,Reprodução de materiais gravados em qualquer suporte,,,,,,,C
C,Indústrias de transformação,18.30-0,Reprodução de materiais gravados em qualquer suporte,,,,,,,C
C,Indústrias de transformação,18.30-0,Reprodução de materiais gravados em qualquer suporte,,,,,,,C
C,Indústrias de transformação,19.10-1,Coquerias,,,,,,,C
C,Indústrias de transformação,19.21-7,Fabricação de produtos do refino de petróleo,,,,,,,C
C,Indústrias de transformação,19.22-5,"Fabricação de produtos derivados do petróleo, exceto produtos do refino",,,,,,,C
C,Indústrias de transformação,19.31-4,Fabricação de álcool,,,,,,,C
C,Indústrias de transformação,19.32-2,"Fabricação de biocombustíveis, exceto álcool",,,,,,,C
C,Indústrias de transformação,20.11-8,Fabricação de cloro e álcalis,,,,,,,C
C,Indústrias de transformação,20.12-6,Fabricação de intermediários para fertilizantes,,,,,,,C
C,Indústrias de transformação,20.13-4,Fabricação de adubos e fertilizantes,,,,,,,C
C,Indústrias de transformação,20.14-2,Fabricação de gases industriais,,,,,,,C
C,Indústrias de transformação,20.19-3,Fabricação de produtos químicos inorgânicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,20.19-3,Fabricação de produtos químicos inorgânicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,20.21-5,Fabricação de produtos petroquímicos básicos,,,,,,,C
C,Indústrias de transformação,20.22-3,"Fabricação de intermediários para plastificantes, resinas e fibras",,,,,,,C
C,Indústrias de transformação,20.29-1,Fabricação de produtos químicos orgânicos não especificados anteriormente,,,,,,,C
C,Indústrias de transformação,20.31-2,Fabricação de resinas termoplásticas,,,,,,,C
C,Indústrias de transformação,20.32-1,Fabricação de resinas termofixas,,,,,,,C
C,Indústrias de transformação,20.33-9,Fabricação de elastômeros,,,,,,,C
C,Indústrias de transformação,20.40-1,Fabricação de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,20.40-1,Fabricação de fibras artificiais e sintéticas,,,,,,,C
C,Indústrias de transformação,20.51-7,Fabricação de defensivos agrícolas,,,,,,,C
C,Indústrias de transformação,20.51-7,Fabricação de defensivos agrícolas,,,,,,,C
C,Indústrias de transformação,20.51-7,Fabricação de defensivos agrícolas,,,,,,,C
C,Indústrias de transformação,20.51-7,Fabricação de defensivos agrícolas,,,,,,,C
C,Indústrias de transformação,20.52-5,Fabricação de desinfestantes domissanitários,,,,,,,C
C,Indústrias de transformação,20.52-5,Fabricação de desinfestantes domissanitários,,,,,,,C
C,Indústrias de transformação,20.52-5,Fabricação de desinfestantes domissanitários,,,,,,,C
C,Indústrias de transformação,20.52-5,Fabricação de desinfestantes domissanitários,,,,,,,C
C,Indústrias de transformação,20.61-4,Fabricação de sabões e detergentes sintéticos,,,,,,,C
C,Indústrias de transformação,20.62-2,Fabricação de produtos de limpeza e polimento,,,,,,,C
C,Indústrias de transformação,20.63-1,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",,,,,,,C
C,Indústrias de transformação,20.63-1,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",,,,,,,C
C,Indústrias de transformação,20.71-1,"Fabricação de tintas, vernizes, esmaltes e lacas",,,,,,,C
